date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2021-05-04;14:31:54;Executed;"SCALx7zqnza1grS";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,373;66,88;-24,9462;0,00;0,00;EUR
2021-05-04;14:10:34;Executed;"SCALjn1BrQWpAc5";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,881;28,345;-24,9719;0,00;0,00;EUR
2021-05-03;20:28:04;Cancelled;"SCALCjHmSR33Zbg";"Coinbase Global Inc";Security;Buy;US19260Q1076;0;0,00;0,00;0,00;0,00;EUR
2021-05-03;20:23:06;Cancelled;"SCALZhxp9gqMHJH";"Plug Power Inc";Security;Buy;US72919P2020;0;0,00;0,00;0,00;0,00;EUR
2021-05-03;20:22:16;Cancelled;"SCALmT3RFgdkt1Y";"Coinbase Global Inc";Security;Buy;US19260Q1076;0;0,00;0,00;0,00;0,00;EUR
2021-05-03;19:40:08;Cancelled;"SCAL7hUHGtFXqRi";"Plug Power Inc";Security;Buy;US72919P2020;0;0,00;0,00;0,00;0,00;EUR
2021-05-03;19:36:16;Cancelled;"SCAL6Tuk4jY9kZv";"Coinbase Global Inc";Security;Buy;US19260Q1076;0;0,00;0,00;0,00;0,00;EUR
2021-05-03;02:00:00;Executed;"9XGYDEP6LQYROBFGHV7SRQ";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-04-30;02:00:00;Executed;"GFZE9WHTIJXYAAZGHH7ZDI";"Scalable Capital Broker Einzahlung";Cash;Deposit;;;;200,00;0,00;;EUR
2021-04-28;12:00:03;Executed;"SCAL3V4vguzr1Qw";"Deutsche Lufthansa AG";Security;Sell;DE0008232125;23;11,00;253,00;0,00;0,00;EUR
2021-04-23;12:50:34;Cancelled;"SCALGve4Q3Ae3Ti";"Deutsche Lufthansa AG";Security;Sell;DE0008232125;0;0,00;0,00;0,00;0,00;EUR
2021-04-23;07:30:16;Cancelled;"SCALR5ATpdoMjBr";"Deutsche Lufthansa AG";Security;Sell;DE0008232125;0;0,00;0,00;0,00;0,00;EUR
2021-04-13;16:05:44;Cancelled;"SCALoX7GnDf6xEq";"Deutsche Lufthansa AG";Security;Sell;DE0008232125;0;0,00;0,00;0,00;0,00;EUR
2021-04-06;12:28:31;Executed;"SCALf7PTdcjEDkM";"iShares MSCI World ESG Enhanced UCITS ETF USD (Acc)";Security;Savings plan;IE00BHZPJ569;4,203;5,948;-24,9994;0,00;0,00;EUR
2021-04-06;12:18:28;Executed;"SCALRH5uWPueN19";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,897;27,86;-24,9904;0,00;0,00;EUR
2021-04-06;12:15:19;Executed;"SCALx2FRPaKXqTi";"iShares Global Clean Energy UCITS ETF USD (Dist)";Security;Savings plan;IE00B1XNHC34;2,181;11,462;-24,9986;0,00;0,00;EUR
2021-04-06;11:23:07;Executed;"SCALhVqaZYN4Sb3";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,375;66,498;-24,9367;0,00;0,00;EUR
2021-04-01;02:00:00;Executed;"5KRJITEIDZRJD1IFPD4XWE";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-03-24;20:33:28;Executed;"SCAL5ZbKQ89gkDD";"Apple Inc";Security;Buy;US0378331005;3;102,00;-306,00;0,00;0,00;EUR
2021-03-24;19:43:40;Executed;"SCALE2h1vm44aVu";"Hyatt Hotels Corp -A";Security;Buy;US4485791028;5;68,00;-340,00;0,00;0,00;EUR
2021-03-24;19:38:06;Cancelled;"SCAL7fnWAARB6Nn";"Hyatt Hotels Corp -A";Security;Buy;US4485791028;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;19:37:32;Cancelled;"SCALi9ozPZFskET";"Hyatt Hotels Corp -A";Security;Buy;US4485791028;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;19:30:39;Cancelled;"SCALsYXYAUjZ6V5";"RENEWABLE ENERGY GROUP INC.";Security;Buy;US75972A3014;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;19:27:04;Executed;"SCALpsNcnwKfc5G";"Apple Inc";Security;Buy;US0378331005;3;102,50;-307,50;0,00;0,00;EUR
2021-03-24;19:17:26;Cancelled;"SCALexzs2Zk4auN";"AUTO1 GROUP SE";Security;Buy;DE000A2LQ884;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;19:12:49;Cancelled;"SCALqiLDGQH2bkG";"AUTO1 GROUP SE";Security;Buy;DE000A2LQ884;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;19:01:20;Cancelled;"SCALejimcR3pLjH";"Apple Inc";Security;Buy;US0378331005;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;17:03:11;Cancelled;"SCAL5EtJ41qLb6p";"AUTO1 GROUP SE";Security;Buy;DE000A2LQ884;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;17:01:39;Cancelled;"SCALPBS8cfNzTua";"Apple Inc";Security;Buy;US0378331005;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;14:54:40;Cancelled;"SCALED53KDevPZB";"Apple Inc";Security;Buy;US0378331005;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;14:54:16;Cancelled;"SCALa1B8ANo13iM";"AUTO1 GROUP SE";Security;Buy;DE000A2LQ884;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;14:31:14;Executed;"SCALpXMsJxq3Qt4";"Plug Power Inc";Security;Buy;US72919P2020;9;31,00;-279,00;0,00;0,00;EUR
2021-03-24;12:12:04;Executed;"SCALNjTyXonLrXC";"Deutsche Lufthansa AG";Security;Buy;DE0008232125;23;10,98;-252,54;0,00;0,00;EUR
2021-03-24;12:02:04;Cancelled;"SCAL4p2fwBSc4gD";"Plug Power Inc";Security;Buy;US72919P2020;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;11:51:37;Executed;"SCAL2hC2CzCTE6G";"Meta Platforms Inc A";Security;Buy;US30303M1027;2;247,00;-494,00;0,00;0,00;EUR
2021-03-24;11:37:53;Rejected;"SCALberrA5Tb9MN";"Deutsche Lufthansa AG";Security;Buy;DE0008232125;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;11:37:52;Rejected;"SCAL7SCxAX7Qe1t";"Plug Power Inc";Security;Buy;US72919P2020;0;0,00;0,00;0,00;0,00;EUR
2021-03-24;11:21:52;Cancelled;"SCALD7at82KAWJm";"Apple Inc";Security;Buy;US0378331005;0;0,00;0,00;0,00;0,00;EUR
2021-03-23;01:00:00;Executed;"903515170";"To Scalable Capital";Cash;Deposit;;;;2.000,00;0,00;;EUR
2021-03-04;01:00:00;Executed;"DGVFTKSXW9I2FSX5NSLRYG";"Scalable Capital Broker Erste Einzahlung";Cash;Deposit;;;;50,00;0,00;;EUR
